Marybe SRL,,,,,,
Pellegrini 141,,,CTRL+R  Genera Revisar,,,
200726 1005,,,CTRL+N  Hoja Ofertas,,,
,,,CTRL+P  Copia Pedido,,,
,, ,,,,
Codigo,Descripcion,MARCA,Rubro,Proveedor,Publico,Oferta
8411061027820,BAD BOY COBALT ELECTRIQUE EDP X 150 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"452.700,00","271.620,00"
8411061027813,BAD BOY COBALT ELECTRIQUE EDP X 50 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"195.000,00","156.000,00"
8411061083789,BAD BOY COBALT ELIXIR EDP X 150 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"439.700,00","263.820,00"
8411061083772,BAD BOY COBALT ELIXIR X 100 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"230.500,00",
8411061083765,BAD BOY COBALT ELIXIR X 50 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"192.500,00","154.000,00"
8411061923245,BAD BOY EDT X 100 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"225.000,00",
8411061982068,BAD BOY EDT X 150 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"439.300,00","263.580,00"
8411061099735,BAD BOY EDT X 50 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"190.000,00","133.000,00"
8411061106297,BAD BOY ELIXIR EDP X 100 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"235.000,00",
8411061106303,BAD BOY ELIXIR EDP X 50 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"195.500,00",
8411061934234,CAROLINA HERRERA WOMAN EDP X 100 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"295.000,00",
8411061067925,CH FOR MEN EDT X 100 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"182.000,00",
8411061067932,CH FOR MEN EDT X 50 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"153.000,00",
8411061077146,LA BOMBA EDP X 30 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"180.000,00",
8411061077153,LA BOMBA EDP X 50 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"230.500,00",
8411061077160,LA BOMBA EDP X 80 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"280.000,00",
8411061125298,CH SWING FOR MEN EDP X 100 ml,Carolina Herrera,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"218.400,00",
8411061125281,CH SWING MUJER EDP X 100 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"252.000,00",
8411061067895,CH WOMAN EDT X 100 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"210.000,00",
8411061607176,CH WOMAN EDT X 30 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"132.000,00",
8411061067901,CH WOMAN EDT X 50 ml,Carolina Herrera,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"169.000,00",
3349668630417,FAME COUTURE EDP X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"241.300,00",
3349668636648,FAME EDP X 150 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"551.600,00","330.960,00"
3349668614004,FAME EDP X 80 ML + TUBO X 10 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"270.000,00",
3349668630127,FAME INTENSE EDP X 30 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"172.000,00",
3349668630110,FAME INTENSE EDP X 50 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"220.000,00",
3349668630448,FAME INTENSE EDP X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"270.000,00","216.000,00"
3349668630141,FAME INTENSE RECARGA X 200 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"215.000,00",
3349668614684,FAME PARFUM RECARGA X 200 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"215.000,00",
3349668614660,FAME PARFUM X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"260.000,00","208.000,00"
3349668614646,FAME PARFUM X 30 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"165.000,00",
3349668614653,FAME PARFUM X 50 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"210.000,00",
3349668595945,FAME EDP RECARGA X 200 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"199.000,00",
3349668594603,FAME EDP X 30 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"170.000,00",
3349668594429,FAME EDP X 50 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"225.000,00",
3349668594412,FAME EDP X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"270.000,00",
8435415105316,GAULTIER DIVINE ELIXIR PARFUM X 100 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"280.900,00",
8435415105293,GAULTIER DIVINE ELIXIR PARFUM X 30 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"201.800,00",
