Marybe SRL,,,,,,
Pellegrini 141,,,CTRL+R  Genera Revisar,,,
200726 1005,,,CTRL+N  Hoja Ofertas,,,
,,,CTRL+P  Copia Pedido,,,
,, ,,,,
Codigo,Descripcion,MARCA,Rubro,Proveedor,Publico,Oferta
3349668630264,MILLION GOLD WOMAN EDP X 90.ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"280.000,00",
3349668644933,MILLION GOLD FOR MEN ELIXIR PARFUM INTENSE X 100 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"290.000,00",
3349668644957,MILLION GOLD FOR MEN ELIXIR PARFUM INTENSE X 50 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"245.000,00",
3137370357636,NINA EDT X 30 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"133.000,00",
3137370357667,NINA EDT X 50 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"170.000,00",
3137370357476,NINA EDT X 80 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"208.000,00",
3137370361343,NINA ILLUSION EDP X 30 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"134.500,00",
3137370361121,NINA ILLUSION EDP X 50 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"171.400,00",
3137370361336,NINA ILLUSION EDP X 80 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"210.300,00",
3137370359500,NINA LE PARFUM EDP X 30 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"120.500,00","108.450,00"
3137370359494,NINA LE PARFUM EDP X 80 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"187.800,00","159.630,00"
3137370364214,VENUS EDP INTENSO X 30 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"159.000,00",
3137370364207,VENUS EDP INTENSO X 50 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"204.000,00",
3137370364191,VENUS EDP INTENSO X 80 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"250.000,00",
3137370360933,VENUS EDP X 50 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"185.000,00",
3137370360926,VENUS EDP X 80 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"229.000,00",
3137370360940,VENUS EDP X 30 ml,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"145.000,00",
3137370363125,NINA ROUGE CRUSH EDP X 30,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"145.000,00",
3137370363149,NINA ROUGE CRUSH EDP X 50,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"185.000,00",
3137370363156,NINA ROUGE CRUSH EDP X 80,Nina Ricci,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"229.000,00",
3349668662937,OLYMPEA ELIXIR EDP INTENSE X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"261.500,00",
3349668613427,OLYMPEA EDP X 30 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"169.000,00",
3349668568093,OLYMPEA EDP X 50 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"216.000,00",
3349668612635,OLYMPEA EDP X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"265.000,00",
3349668627486,OLYMPEA PARFUM X 30 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"152.000,00",
3349668627462,OLYMPEA PARFUM X 50 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"195.000,00",
3349668627479,OLYMPEA PARFUM X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"237.000,00",
3349668599424,OLYMPEA SOLAR EDP INTENSE X 30 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"116.600,00",
3349668599417,OLYMPEA SOLAR EDP INTENSE X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"182.100,00","154.785,00"
3349668614455,OLYMPEA FLORA EDP INTENSE X 30 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"116.600,00",
3349668614462,OLYMPEA FLORA EDP INTENSE X 50 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"149.600,00",
3349668614479,OLYMPEA FLORA EDP INTENSE X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"182.500,00","155.125,00"
3349668021345,PACO RABANNE POUR HOMME EDT X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"185.000,00",
3349668630059,PHANTOM EDP INTENSE X 200 ml RECARGA,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"238.500,00",
3349668630042,PHANTOM EDP INTENSE X 150 ml ,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"475.600,00","285.360,00"
3349668630028,PHANTOM EDP INTENSE X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"210.000,00",
3349668630035,PHANTOM EDP INTENSE X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"245.000,00",
3349668582297,PHANTOM EDT X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"230.000,00",
3349668596348,PHANTOM EDT X 150 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"440.600,00","264.360,00"
3349668596355,PHANTOM EDT X 200 ml  RECARGA,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"221.000,00",
3349668582365,PHANTOM EDT X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"195.000,00",
3349668644049,PHANTOM ELIXIR PARFUM X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"265.000,00",
3349668644063,PHANTOM ELIXIR PARFUM X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"225.000,00",
3349668661916,PHANTOM IN RED PARFUM ELIXIR X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"195.000,00",
3349668623440,PHANTOM EDT X 100 ml + TUBO X 10 ml + DESODORANTE,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"230.000,00",
3349668614615,PHANTOM PARFUM X 200 ml RECARGA,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"243.000,00",
3349668614592,PHANTOM PARFUM X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"253.000,00",
3349668666911,PHANTOM PARFUM X 100 + TUBO X 10 ml + DESODORANTE,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"256.000,20",
3349668614608,PHANTOM PARFUM X 150 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"485.100,00","291.060,00"
3349668614585,PHANTOM PARFUM X 50 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"215.000,00",
3349668661640,PHANTOM IN RED PARFUM ELIXIR X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"230.000,00",
3349668666829,INVICTUS EDT X 100 ml + DESODORANTE + TUBO X 10 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"235.000,00",
3349668666874,INVICTUS VICTORY ABSOLU X 100 ml + DESODORANTE + TUBO X 10 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"295.000,00",
8435415080385,SCANDAL ABSOLU POUR HOMME PARFUM X 100 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"296.500,00",
8435415080378,SCANDAL ABSOLU POUR HOMME PARFUM X 50 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"251.300,00",
8435415080392,SCANDAL ABSOLU POUR HOMME PARFUM X 150 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"577.400,00","346.440,00"
8435415080408,SCANDAL ABSOLU WOMAN PARFUM X 30 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"209.600,00",
8435415080415,SCANDAL ABSOLU WOMAN PARFUM X 50 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"268.000,00",
8435415080422,SCANDAL ABSOLU WOMAN PARFUM X 80 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"320.000,00",
8435415055956,SCANDAL POUR HOMME EDT X 200 ml RECARGA ,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"232.000,00",
8435415030885,SCANDAL POUR HOMME EDT X 100 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"247.000,00",
8435415055963,SCANDAL POUR HOMME EDT X 150 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"480.900,00","288.540,00"
8435415030908,SCANDAL POUR HOMME EDT X 50 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"209.500,00",
8435415065191,SCANDAL POUR HOMME LE PARFUM X 100 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"271.500,00",
8435415064637,SCANDAL POUR HOMME LE PARFUM X 200 ml RECARGA,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"223.600,00",
8435415065207,SCANDAL POUR HOMME LE PARFUM X 50 ml,Jean Paul Gaultier,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"230.500,00",
8435415059060,SCANDALL WOMAN EDP X 80 ml,Jean Paul Gaultier,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"272.200,00",
3349668576111,XS BLACK POUR HOMME EDT X 100 ml,Rabanne,FRAG IMP HOMBRE,PUIG ARGENTINA SA (SELE),"195.000,00",
3349668555062,XS BLACK WOMAN EDP X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"205.000,00",
3349668545636,XS PURE WOMAN EDP X 80 ml,Rabanne,FRAG IMPORTADAS FEM,PUIG ARGENTINA SA (SELE),"205.000,00",
